id;en;ru
_message;Message;Сообщение
_warning;Warning;Предупреждение
_error;Error;Ошибка
_exception;Exception;Исключительная ситуация
_version;Version;Версия
_clrVersion;CLR;Версия CLR
_gmcopyright;© 2008 Alexander Abramov, MIT license;© 2008 Alexander Abramov, MIT license
_gmHyperlink;https://github.com/AlexAbramov/geomethod;https://github.com/AlexAbramov/geomethod
_details;&Details;&Подробнее
_hidedetails;&Brief;&Кратко
_report;&Report;&Отчет
_ignore;&Ignore;&Игнорировать
_close;&Close;&Закрыть
_name;Name;Имя
_ok;&Ok;&OK
_cancel;&Cancel;&Отмена
_file;&File;&Файл
_new;&New;Со&здать
_open;&Open;&Открыть
_save;&Save;&Сохранить
_saveas;Save &As;Со&хранить как
_view;&View;&Вид
_exit;E&xit;В&ыход
_tools;&Tools;&Сервис
_options;&Options;&Параметры
_help;&Help;&Помощь
_about;&About;&О программе
_window;&Window;&Окна
_contents;&Contents;&Содержание
_import;&Import;&Импорт
_export;&export;&Экспорт
_about;About;О программе
_productVersion;Version;Версия
_print;&Print;&Печать
_edit;&Edit;&Редактировать
_search;&Search;&Поиск
_add;&Add;&Добавить
_remove;&Remove;Удалить
_language;Language;Язык
_languagedescr;Language for the program interface and messages.;Язык для интерфейса и сообщений программы.
_misc;Misc;Разное
_properties;Properties;Свойства
_update;&Update;&Обновить
_rename;&Rename;&Переименовать
_clear;&Clear;&Очистить
_savechanges;Would you like to save changes?;Сохранить изменения?
_stringnotfound;String not found;Строка не найдена
_PrintPreview;Print Pre&view;Пре&дварительный просмотр
_Undo;&Undo;&Отменить
_Redo;&Redo;&Повторить
_Cut;Cu&t;В&ырезать
_Copy;&Copy;&Копировать
_Paste;&Paste;В&ставить
_SelectAll;Select &All;&Выделить все
_Customize;&Customize;&Настроить
_Index;&Index;&Индекс
_go;&Go;&Перейти
_goBack;Go &Back;&Назад
_goForward;Go &Forward;&Вперед
_stop;&Stop;&Стоп
_refresh;&Refresh;&Обновить
_saveDoc;Would you like to save the document?;Сохранить документ?
_usebydefault;Use by &default;Использовать по &умолчанию
_create;Create;Создать
_default;Default;По умолчанию
_id;Id;№
_startDate;Start date;Начальная дата
_endDate;End date;Конечная дата
